,Date,Transect,Taxa,Species,Abundance,Distance.Footsteps,Encounter.Time,Habitat,Start.Time,End.Time,Weather,Detection,Guild,Sex,Activity,Photo.Audio.No.,Remarks
1,30-10-1998,T1A,Birds,Jungle Crow,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
2,30-10-1998,T1A,Birds,Black Drongo,2,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
3,30-10-1998,T1A,Birds,Baya Weaver Bird,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Grainivore,NA,NA,NA,NA
4,30-10-1998,T1A,Birds,Pied Kingfisher,3,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
5,30-10-1998,T1A,Birds,White Breasted Kingfisher,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
6,30-10-1998,T1A,Birds,Storkbilled Kingfisher,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
7,30-10-1998,T1A,Birds,Cattle Egret,11,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
8,30-10-1998,T1A,Birds,Common Iora,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
9,30-10-1998,T1A,Birds,Red Vented Bulbul,1,NA,,Human Habitation and Farmland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
10,30-10-1998,T1B,Birds,Red Whiskered Bulbul,2,NA,,Scrubland and Grassland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
11,30-10-1998,T1B,Birds,Indian Robin,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
12,30-10-1998,T1B,Birds,Turtle Dove,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Grainivore,NA,NA,NA,NA
13,30-10-1998,T1B,Birds,White Wagtail,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
14,30-10-1998,T1B,Birds,White Rumped Vulture,4,NA,,Scrubland and Grassland,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
15,30-10-1998,T1B,Birds,Crested Serpent Eagle,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
16,30-10-1998,T1B,Birds,Purple Moorhen,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
17,30-10-1998,T1B,Birds,Painted Francolin,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Grainivore,NA,NA,NA,NA
18,30-10-1998,T1B,Birds,Spotted Dove,1,NA,,Scrubland and Grassland,NA,NA,NA,NA,Grainivore,NA,NA,NA,NA
19,08-11-1998,T1A,Birds,Spotted Dove,1,NA,10:25,Human Habitation and Farmland,NA,NA,NA,NA,Grainivore,NA,NA,NA,NA
20,08-11-1998,T1A,Birds,Long Tailed Shrike,1,NA,10:30,Human Habitation and Farmland,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
21,08-11-1998,T1A,Birds,Red Whiskered Bulbul,1,NA,10:30,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
22,08-11-1998,T1A,Birds,Painted Francolin,1,NA,10:30,Human Habitation and Farmland,NA,NA,NA,NA,Grainivore,NA,NA,NA,NA
23,08-11-1998,T1A,Birds,Jungle Babler,1,NA,10:35,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
24,08-11-1998,T1A,Birds,Brown Headed Barbet,1,NA,10:35,Human Habitation and Farmland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
25,08-11-1998,T1A,Birds,House Crow,1,NA,10:40,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
26,08-11-1998,T1A,Birds,Red Whiskered Bulbul,1,NA,10:40,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
27,08-11-1998,T1A,Birds,Baya Weaver Bird,2,NA,10:40,Human Habitation and Farmland,NA,NA,NA,NA,Grainivore,NA,NA,NA,NA
28,08-11-1998,T1A,Birds,Quaker Babler,1,NA,10:46,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
29,08-11-1998,T1A,Birds,Jungle Babler,1,NA,10:55,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
30,08-11-1998,T1B,Birds,Red Whiskered Bulbul,1,NA,11:00,Scrubland and Grassland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
31,08-11-1998,T1B,Birds,Brown Headed Barbet,1,NA,11:05,Scrubland and Grassland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
32,08-11-1998,T1B,Birds,Black Drongo,1,NA,11:05,Scrubland and Grassland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
33,08-11-1998,T1B,Birds,Black Drongo,1,NA,11:10,Scrubland and Grassland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
34,08-11-1998,T1B,Birds,Black Drongo,1,NA,11:10,Scrubland and Grassland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
35,08-11-1998,T1B,Birds,Jungle Crow,2,NA,11:10,Scrubland and Grassland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
36,20-01-1999,T1A,Birds,Painted Francolin,1,NA,10:00,Human Habitation and Farmland,NA,NA,NA,NA,Grainivore,NA,NA,NA,NA
37,20-01-1999,T1A,Birds,Purple Sunbird,1,NA,10:04,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
38,20-01-1999,T1A,Birds,Brown Headed Barbet,3,NA,10:05,Human Habitation and Farmland,NA,NA,NA,NA,Frugivore,NA,NA,NA,NA
39,20-01-1999,T1A,Birds,Indian Robin,1,NA,10:05,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
40,20-01-1999,T1A,Birds,Red Whiskered Bulbul,1,NA,10:10,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
41,20-01-1999,T1A,Birds,Long Tailed Shrike,1,NA,10:11,Human Habitation and Farmland,NA,NA,NA,NA,Carnivore,NA,NA,NA,NA
42,20-01-1999,T1A,Birds,Purple Sunbird,1,NA,10:14,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
43,20-01-1999,T1A,Birds,Purple Sunbird,1,NA,10:16,Human Habitation and Farmland,NA,NA,NA,NA,Omnivore,NA,NA,NA,NA
44,20-01-1999,T1A,Birds,Green Bee Eater,1,NA,10:18,Human Habitation and Farmland,NA,NA,NA,NA,Insectivore,NA,NA,NA,NA
