Date,Transect,Taxa,Common.Name,Specific.Epithet,Abundance,Distance.Footsteps,Encounter.Time,Start.Time,End.Time,Weather,Detection,Sex,Activity,Photo.Audio.No.,Remarks
30-10-1998,T1A,Birds,Jungle Crow,Corvus macrorhynchos,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA
30-10-1998,T1A,Birds,Black Drongo,Dicrurus macrocercus,2,NA,,NA,NA,NA,NA,NA,NA,NA,NA
30-10-1998,T1A,Birds,Baya Weaver Bird,Ploceus philippinus,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA
30-10-1998,T1A,Birds,Pied Kingfisher,Ceryle rudis,3,NA,,NA,NA,NA,NA,NA,NA,NA,NA
30-10-1998,T1A,Birds,White Breasted Kingfisher,Halcyon smyrnensis,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA
30-10-1998,T1A,Birds,Storkbilled Kingfisher,Pelargopsis capensis,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA
30-10-1998,T1A,Birds,Cattle Egret,Bubulcus ibis,11,NA,,NA,NA,NA,NA,NA,NA,NA,NA
30-10-1998,T1A,Birds,Common Iora,Aegithina tiphia,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA
30-10-1998,T1A,Birds,Red Vented Bulbul,Pycnonotus cafer,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA
30-10-1998,T1B,Birds,Red Whiskered Bulbul,Pycnonotus jocosus,2,NA,,NA,NA,NA,NA,NA,NA,NA,NA
30-10-1998,T1B,Birds,Indian Robin,Copsychus fulicatus,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA
30-10-1998,T1B,Birds,Turtle Dove,Streptopelia orientalis,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA
30-10-1998,T1B,Birds,White Wagtail,Motacilla alba,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA
30-10-1998,T1B,Birds,White Rumped Vulture,Gyps bengalensis,4,NA,,NA,NA,NA,NA,NA,NA,NA,NA
30-10-1998,T1B,Birds,Crested Serpent Eagle,Spilornis cheela,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA
30-10-1998,T1B,Birds,Purple Moorhen,Porphyrio porphyrio,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA
30-10-1998,T1B,Birds,Painted Francolin,Francolinus pictus,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA
30-10-1998,T1B,Birds,Spotted Dove,Streptopelia chinensis,1,NA,,NA,NA,NA,NA,NA,NA,NA,NA
08-11-1998,T1A,Birds,Spotted Dove,Streptopelia chinensis,1,NA,10:25,NA,NA,NA,NA,NA,NA,NA,NA
08-11-1998,T1A,Birds,Long Tailed Shrike,Lanius schach,1,NA,10:30,NA,NA,NA,NA,NA,NA,NA,NA
08-11-1998,T1A,Birds,Red Whiskered Bulbul,Pycnonotus jocosus,1,NA,10:30,NA,NA,NA,NA,NA,NA,NA,NA
08-11-1998,T1A,Birds,Painted Francolin,Francolinus pictus,1,NA,10:30,NA,NA,NA,NA,NA,NA,NA,NA
08-11-1998,T1A,Birds,Jungle Babler,Turdoides striata,1,NA,10:35,NA,NA,NA,NA,NA,NA,NA,NA
08-11-1998,T1A,Birds,Brown Headed Barbet,Psilopogon zeylanicus,1,NA,10:35,NA,NA,NA,NA,NA,NA,NA,NA
08-11-1998,T1A,Birds,House Crow,Corvus splendens,1,NA,10:40,NA,NA,NA,NA,NA,NA,NA,NA
08-11-1998,T1A,Birds,Red Whiskered Bulbul,Pycnonotus jocosus,1,NA,10:40,NA,NA,NA,NA,NA,NA,NA,NA
08-11-1998,T1A,Birds,Baya Weaver Bird,Ploceus philippinus,2,NA,10:40,NA,NA,NA,NA,NA,NA,NA,NA
08-11-1998,T1A,Birds,Quaker Babler,Alcippe poioicephala,1,NA,10:46,NA,NA,NA,NA,NA,NA,NA,NA
08-11-1998,T1A,Birds,Jungle Babler,Turdoides striata,1,NA,10:55,NA,NA,NA,NA,NA,NA,NA,NA
08-11-1998,T1B,Birds,Red Whiskered Bulbul,Pycnonotus jocosus,1,NA,11:00,NA,NA,NA,NA,NA,NA,NA,NA
08-11-1998,T1B,Birds,Brown Headed Barbet,Psilopogon zeylanicus,1,NA,11:05,NA,NA,NA,NA,NA,NA,NA,NA
08-11-1998,T1B,Birds,Black Drongo,Dicrurus macrocercus,1,NA,11:05,NA,NA,NA,NA,NA,NA,NA,NA
08-11-1998,T1B,Birds,Black Drongo,Dicrurus macrocercus,1,NA,11:10,NA,NA,NA,NA,NA,NA,NA,NA
08-11-1998,T1B,Birds,Black Drongo,Dicrurus macrocercus,1,NA,11:10,NA,NA,NA,NA,NA,NA,NA,NA
08-11-1998,T1B,Birds,Jungle Crow,Corvus macrorhynchos,2,NA,11:10,NA,NA,NA,NA,NA,NA,NA,NA
20-01-1999,T1A,Birds,Painted Francolin,Francolinus pictus,1,NA,10:00,NA,NA,NA,NA,NA,NA,NA,NA
20-01-1999,T1A,Birds,Purple Sunbird,Cinnyris asiaticus,1,NA,10:04,NA,NA,NA,NA,NA,NA,NA,NA
20-01-1999,T1A,Birds,Brown Headed Barbet,Psilopogon zeylanicus,3,NA,10:05,NA,NA,NA,NA,NA,NA,NA,NA
20-01-1999,T1A,Birds,Indian Robin,Copsychus fulicatus,1,NA,10:05,NA,NA,NA,NA,NA,NA,NA,NA
20-01-1999,T1A,Birds,Red Whiskered Bulbul,Pycnonotus jocosus,1,NA,10:10,NA,NA,NA,NA,NA,NA,NA,NA
20-01-1999,T1A,Birds,Long Tailed Shrike,Lanius schach,1,NA,10:11,NA,NA,NA,NA,NA,NA,NA,NA
20-01-1999,T1A,Birds,Purple Sunbird,Cinnyris asiaticus,1,NA,10:14,NA,NA,NA,NA,NA,NA,NA,NA
20-01-1999,T1A,Birds,Purple Sunbird,Cinnyris asiaticus,1,NA,10:16,NA,NA,NA,NA,NA,NA,NA,NA
20-01-1999,T1A,Birds,Green Bee Eater,Merops orientalis,1,NA,10:18,NA,NA,NA,NA,NA,NA,NA,NA
20-01-1999,T1A,Birds,Red Whiskered Bulbul,Pycnonotus jocosus,1,NA,10:23,NA,NA,NA,NA,NA,NA,NA,NA
20-01-1999,T1A,Birds,Green Bee Eater,Merops orientalis,1,NA,10:24,NA,NA,NA,NA,NA,NA,NA,NA
20-01-1999,T1A,Birds,Pallid Harrier,Circus macrourus,1,NA,10:25,NA,NA,NA,NA,NA,NA,NA,NA
20-01-1999,T1A,Birds,Green Bee Eater,Merops orientalis,1,NA,10:28,NA,NA,NA,NA,NA,NA,NA,NA
20-01-1999,T1B,Birds,Green Bee Eater,Merops orientalis,1,NA,10:33,NA,NA,NA,NA,NA,NA,NA,NA
20-01-1999,T1B,Birds,Brown Headed Barbet,Psilopogon zeylanicus,1,NA,10:35,NA,NA,NA,NA,NA,NA,NA,NA
20-01-1999,T1B,Birds,Painted Francolin,Francolinus pictus,1,NA,10:35,NA,NA,NA,NA,NA,NA,NA,NA
