Common Name,Specific Epithet,Guild,Foraging Type,Prey Items,Remarks
Jungle Crow,Corvus macrorhynchos,Omnivore,Scavenger,Carrion.Bird Eggs.Rodents.Small Reptiles.Anurans.Crustaeceans.Fruits.Seeds,
Black Drongo,Dicrurus macrocercus,Insectivore,Active,Insects.Small Reptiles. Nectar,
Baya Weaver Bird,Ploceus philippinus,Grainivore,Grazer,Seeds.Nectar,
Pied Kingfisher,Ceryle rudis,Carnivore,Active,Fish.Insects., 
White Breasted Kingfisher,Halcyon smyrnensis,Carnivore,Active,Insects.Arthropds.Molluscs.Crustaeceans.Fish.Anurans.Small Reptiles.Birds.Rodents,
Storkbilled Kingfisher,Pelargopsis capensis,Carnivore,Active,Fish. Insects. Crustaeceans.Anurans.Small Rodents.Birds,
Cattle Egret,Bubulcus ibis,Carnivore,Active,Insects.Spiders.Anurans,
Common Iora,Aegithina tiphia,Insectivore,Active,Insects.Arthropods,
Red Vented Bulbul,Pycnonotus cafer,Frugivore,Browser,Fruits.Nectar,
Red Whiskered Bulbul,Pycnonotus jocosus,Frugivore,Browser,Fruits.Nectar,
Indian Robin,Copsychus fulicatus,Insectivore,Active,Insects.Spiders,
Turtle Dove,Streptopelia orientalis,Grainivore,Grazer,Seeds.Herbs,
White Wagtail,Motacilla alba,Insectivore,Active,Insects,
White Rumped Vulture,Gyps bengalensis,Carnivore,Scavenger,Carrion,
Crested Serpent Eagle,Spilornis cheela,Carnivore,Active,Reptiles. Mammals. Crustaeceans. Fish. Anurans.Birds,Mainly reptiles
Purple Moorhen,Porphyrio porphyrio,Omnivore,Active,"Aquatic Plants.Molluscs. Annelids. Crustaeceans. Insects.Spiders.Fish.Fish eggs.Anurans.Rodents.Carrion 
",Primarily Vegetarian
Painted Francolin,Francolinus pictus,Grainivore,Grazer,Seeds. Insects,
Spotted Dove,Streptopelia chinensis,Grainivore,Grazer,Seeds.Fruits,
Long Tailed Shrike,Lanius schach,Carnivore,Active,"Insects.Small Mammals.Small Reptiles.Anurans.Crustaeceans.Birds
",
Jungle Babler,Turdoides striata,Omnivore,Active,"Insects.Spiders.Anurans.Seeds.Fruits.Nectar
",
Brown Headed Barbet,Psilopogon zeylanicus,Frugivore,Grazer,"Fruits.Nectar.Insects
",
House Crow,Corvus splendens,Omnivore,Scavenger,"Carrion.Bird Eggs.Rodents.Small Reptiles.Anurans.Crustaeceans.Insects.Fruits.Seeds.Plants
",
Quaker Babler,Alcippe poioicephala,Insectivore,Active,Insects.Nectar,
