Common.Name,Family,Specific.Epithet,Guild,Hostplant.Family,Hostplant.Name,Country,Source
Indian Common Crow,Nymphalidae,Euploea core,Generalist,Asclepiadaceae,Cryptolepis pauciflora,India,HOSTS
Indian Common Crow,Nymphalidae,Euploea core,Generalist,Moraceae,Ficus,India,HOSTS
Indian Common Crow,Nymphalidae,Euploea core,Generalist,Moraceae,Ficus benghalensis,India,HOSTS
Indian Common Crow,Nymphalidae,Euploea core,Generalist,Moraceae,Ficus racemosa,India,HOSTS
Indian Common Crow,Nymphalidae,Euploea core,Generalist,Moraceae,Ficus religiosa,India,HOSTS
Indian Common Crow,Nymphalidae,Euploea core,Generalist,Apocynaceae,Holarrhena,India,HOSTS
Indian Common Crow,Nymphalidae,Euploea core,Generalist,Apocynaceae,Nerium,India,HOSTS
Indian Common Crow,Nymphalidae,Euploea core,Generalist,Apocynaceae,Nerium oleander,India,HOSTS
Indian Common Crow,Nymphalidae,Euploea core,Generalist,Apocynaceae,Nerium oleander,India,HOSTS
Indian Common Crow,Nymphalidae,Euploea core,Generalist,Moraceae,Streblus asper,India,HOSTS
Angled Pierrot,Lycaenidae,Caleta decidia,Tree Specialist,Rhamnaceae,,Oriental,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tree Specialist,Rutaceae,,Oriental,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tree Specialist,Insecta,Aphididae (Z),Oriental,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tree Specialist,Rutaceae,Atalantia buxifolia,Hong Kong,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tree Specialist,Rutaceae,Atalantia buxifolia,Taiwan,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tree Specialist,Rutaceae,Citrus,India,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tree Specialist,Rutaceae,Citrus,India,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tree Specialist,Rutaceae,Citrus,India,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tree Specialist,Rutaceae,Citrus,Oriental,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tree Specialist,Rutaceae,Citrus aurantifolia,India,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tree Specialist,Rutaceae,Citrus aurantium,Sri Lanka,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tree Specialist,Rutaceae,Citrus hystrix,Sri Lanka,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tree Specialist,Rutaceae,Citrus limon,India,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tree Specialist,Rutaceae,Citrus limon,Laos,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tree Specialist,Rutaceae,Citrus maxima,India,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tree Specialist,Rutaceae,Citrus maxima,India,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tree Specialist,Rutaceae,Citrus maxima,Sri Lanka,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tree Specialist,Rutaceae,Citrus maxima,Thailand,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tree Specialist,Rutaceae,Citrus sinensis ?,India,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tree Specialist,Rutaceae,Limonia elephantum,Sri Lanka,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tree Specialist,Rutaceae,Limonia elephantum,Sri Lanka,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tree Specialist,Anacardiaceae,Mangifera indica,India,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tree Specialist,Rutaceae,Severinia buxifolia,Taiwan,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tree Specialist,Tiliaceae,Tilia,India,HOSTS
Common Small Flat,Hesperiidae,Sarandgesa dasahara,Herb Specialist,Acanthaceae,Asytasia,,IFB
Common Small Flat,Hesperiidae,Sarandgesa dasahara,Herb Specialist,Acanthaceae,Blepharis asperrima,,IFB
Common Small Flat,Hesperiidae,Sarandgesa dasahara,Herb Specialist,Acanthaceae,Lepidagathis cuspidaa,,IFB
Common Mormon,Papilionidae,Papilio polytes,Tree Specialist,Rutaceae,Aegle marmelos,India,HOSTS
Common Mormon,Papilionidae,Papilio polytes,Tree Specialist,Rutaceae,Aegle marmelos,India,HOSTS
Common Mormon,Papilionidae,Papilio polytes,Tree Specialist,Rutaceae,Citrus,India,HOSTS
Common Mormon,Papilionidae,Papilio polytes,Tree Specialist,Rutaceae,Citrus,India,HOSTS
