Common Name,Guild,Specific Epithet,Diet
Jungle Crow,Omnivore,Corvus macrorhynchos,"Omnivorous scavenger. Takes carrion of all kinds, by foraging along shorelines and roadsides, stealing food items from vulture nests (food brought in by parent vultures to feed their young). Robs bird nests of both eggs and fledglings, feeds with vultures on animal carcasses, kills rodents and palm-squirrels (Funambulus), lizards (Colotes), frogs, large invertebrates including crabs, centipedes (Chilopoda), grasshoppers and locusts (Orthoptera), moths and caterpillars (Lepidoptera), beetles (Coleoptera), ants (Formicidae) and termites (Isoptera); clumsily hawks for winged termites and even small bats in flight. Also takes variety of fruit, both wild and cultivated, including berries and cherries; variety of cereals (e.g. Sorghum, Oryza, Pennisetum, Triticum, Zea), seen to wrench off whole maize cobs and digs up groundnuts (Arachis). Clumsily feeds among foliage of a variety of flowering trees (e.g. Bombax, Erythrina, Butea, Grevillea, Spathodea), taking both nectar and petals. In Japan, a bird feeding young was seen to hide food items during early-morning foraging, returning later to feed both young and sitting partner on nest. In N India one was watched as it hammered a concealed object, possibly a nut or a pine cone, with a stone. Usually encountered in pairs or family parties, often feeding with other birds in fruiting trees; larger congregations at good food sources. In Himalayas, follows herds of goats and sheep high into their summer pastures."
Black Drongo,Insectivore,Dicrurus macrocercus,"Food predominantly insects  (often agricultural pests), including locusts, grasshoppers and crickets (Orthoptera), beetles (Coleoptera), bugs (Hemiptera), termites (Isoptera), ants and bees (Hymenoptera), even ferocious rock bees (Apis dorsata), also moths, butterflies and larvae (Lepidopera), damselflies (Zygoptera); occasionally, mainly on Indian Subcontinent, diet reported as much more varied, including lizards, small bats, and nestlings and small birds such as flycatchers (Muscicapa), prinias (Prinia), white-eyes (Zosterops), ioras (Aegithina), swallows (Hirundinidae); cattle ticks (Ixodoidea), considered an important food resource in Sri Lanka. Reported as feeding on dead fish floating on muddy water, frequently flying to perch on nearby tree, carrying a fish c. 10 cm long in bill. Also seeks nectar (from Bombax ceiba, B. insigne, Butea monosperma, Erythrina), during which forehead and throat feathers become covered with pollen (thus helps in cross-fertilization of plants). In Gujarat (India) one individual reported as feeding on sorghum (Sorghum vulgare) grains; took 30 grains in ten minutes by pecking repeatedly under its feet while perched on top of the ear. Regularly reported as pirating worms (Annelida) or other prey from Eurasian Hoopoes (Upupa epops), mynas or wagtails (Motacilla). Spends middle of day calmly on shady trees. Forages mainly in morning and evening hours, hunting insects attracted by electric lights as late as 2–4 hours after sunset. Perches on wires, fence posts, posts, bare treetops, earth banks or other vantage, sallying to catch prey on the wing, to seize it among herbage, or to snatch termites and other insects emerging from ground. During human activity in rice fields, perches close by on elevated posts and pounces on insects disturbed or exposed by the plough; feeds also on ground, swooping down on prey and either eating it immediately or carrying it in bill to perch. Tears larger items to pieces before swallowing them; removes wings of damselflies and other large-winged insects before consumption. Usually solitary, but will gather in numbers to feed on swarming winged termites or emerging mosquitoes (Culicidae); attracted to forest fires and areas of burning grass, where it captures escaping insects, even amid thick rising smoke. Also joins parties of Yellow-billed Babbler (Turdoides affinis) or Jungle Babbler (Turdoides striata), hawking insects flushed by the babblers, the latter (not competing for food, as near-ground foragers) benefit­ing from protection afforded by drongo against predators; same behaviour and benefit observed in associations with ground-feeding flocks of Jungle Myna (Acridotheres fuscus) and/or Common Myna (Acridotheres tristis). Foraging trips of present species considerably more successful when with medium-sized and large myna flocks. Associates also with mammals, mainly cattle  , water buffalo or goats, catching insects disturbed by them; often uses back of cattle as mobile perch. Outside breeding season, roosts in trees or bamboo groves, dispersing at dawn to feeding areas; hardly enters closed tree cover during daytime, often foraging far from any trees."
Baya Weaver Bird,Grainivore,Ploceus philippinus,"Diet seeds, including those of Phalaris minor, Echinochloa colonum, Pennisetum typhoideum, cultivated rice (Oryza), wheat (Triticum), maize (Zea mays), sorghum, millet and sunflowers (Helianthus); also nectar of Bombax, Erythrina and Capparis. Also animal food, insects mainly grasshoppers (Orthoptera), with flies (Diptera), termites (Isoptera), beetles (Coleo­ptera), caterpillars (Lepidoptera) and butterflies (of family Nymphalidae); also spiders (Araneae), small snails (Gastropoda); rice frogs (Rana limnocharis) in S India (Kerala) caught in paddyfield, battered on perch and then eaten piecemeal. Gecko (Gekkonidae) and changeable lizard (Calotes versicolor) fed to nestlings. Adults primarily granivorous, with rice often the most important food item; in trials with captives, Echinochloa colonum the preferred seed type. Nestling diet included 16% plant material. Gregarious. Daytime roosts near feeding grounds occupied during hottest period of day; communal roosts occupied throughout year, often in association with other species, e.g. P. benghalensis and P. manyar, starlings (Sturnidae), waxbills (Estrildidae), sparrows (Passeridae), wagtails (Motacillidae) and bulbuls (Pycnonotidae)."
Pied Kingfisher,Carnivore,Ceryle rudis,"Largely fish  in Africa, including Engraulicypris argenteus, Haplochromis, Barbus and Clarius at L Victoria; Haplochromis, other cichlids, Barbus paludinosus in Botswana; in South Africa, Ambassis natalensis, Gilchristella aestuarius and many other species in Kosi Estuary, and also Sarotherodon mossambicus at L St Lucia; Barbus, Alestes and cichlid species in Zambia, and cichlids Cyrtocara eucinostomus and Pseudotropheus zebra in Malawi. Preferred size range of fish 25–60 mm, but those up to 133 mm and 26 g are taken. Aquatic insects may supplement this, and dragonfly nymphs (Anisoptera) were 24% of all prey items on Kafue Flats, in Zambia; also winged insects, e.g. adult dragonflies, alate termites (Macrotermes); and grasshoppers (Ruspolia flavovirens), water beetles (Dytiscidae, Gyrinidae), water scorpions (Nepidae), water-bugs (Notonectidae, Corixidae, Belostomatidae); 2 birds flushed from a carcass in Tanzania were probably feeding on maggots. In the Sundarbans of India, fish included Mugil parsa, Ambassis, Puntius and Mystus, with crabs and crayfish (17% of prey) and aquatic insects (26%) also taken. Frogs, tadpoles and molluscs also recorded, though latter may be secondarily ingested. Average daily food intake estimated to be 18·4 g (24·6% of body weight), representing 7·2 fish/bird/day; 2 hand-reared juveniles near to fledging also had daily intake of 24–26% of body weight, but younger captive nestlings ate 34·5 g/day (45% of body weight). Pellets consisting of undigested bones and insect sclerites are produced at night and during resting periods during day, prior to resuming foraging. Hunts by scanning from perch  , bobbing head and flicking tail, and then diving down, hitting water with a splash, returning  with prey carried crosswise in its bill. Small fish may be swallowed in flight; larger ones (over 55 mm) taken back to perch and bashed repeatedly, up to 113 times for a 9-cm Tilapia, before being swallowed head first. Also regularly hovers, before plunging down to take prey in water; in still, calm conditions hovering used for 20% of dives, increasing to 80% in windy conditions. In Malawi, hovering was used for 98% of foraging on sandy beaches where perches rare, but for only 5% on rocky shores where perches common. Hovering allows it to go out over 3 km from shoreline; flies low over water then rises 2–10 m, with body nearly vertical, bill held down and wings beating rapidly; may move or drop down slightly and resume hovering before diving down; if successful, will swallow prey on the wing without prior beating on branch. Feeding success was 55% for dives from a perch and 41% from hovering on L Victoria, but only 18% on L Malawi with no differences between foraging methods. On L Kariba, usual daytime feeding patterns with 4–5 peaks were moved to dawn and dusk to take advantage of sardine (Limnothrissa miodon) rising to surface; in Kashmir, was most active 08:00–09:00 and 16:00–18:00 hours. On land it will take termites on the wing, and will also dive to the ground to catch insects. Seen to hover over a clawless otter (Aonyx capensis), presumably watching for displaced fish. Sometimes uses hippopotamus (Hippopotamus amphibius) as a perch."
White Breasted Kingfisher,Carnivore,Halcyon smyrnensis,"Wide variety of prey recorded. Insects  include mole-crickets (Gryllotalpa), crickets and grasshoppers (Locustidae, Tettigidae, Gryllidae), earwigs (Labiduridae, Chelisochidae), cockroaches (Blattodea), bugs (Belostomatidae, Pyrrhocoridae) beetles (Dytiscidae, Dynastidae, Rutilidae, Meloidae, Cicindelidae), mantises (Mantodea), termites (Isoptera), winged ants (Formicidae), moths and caterpillars (Lepidoptera); also takes small scorpions (Scorpiones), centipedes (Chilopoda, including dangerous Scolopendra), snails (Achatina), crabs and crustaceans (Palaemonidae, Ocypodidae, Potamonidae, Paratelphusa), earthworms (Megascolecidae), fish  (Cyprinidae, Bagridae, Anabantidae), frogs  and toads (Rana, Bufo), lizards (Gecko, Draco, Calotes, Mabuya), chameleons, snakes (Coluber, Natrix, Ptyas to 65 cm long), birds, voles, mice, and squirrels (Funambulus). In Bengal, fish (31%) composed most of the diet, followed by frogs and toads (19%), insects (16%), reptiles (14%) and crustaceans (11%), but fish component varied from 43% in wet season to 19% in dry season. In a different study in India, analysis revealed that preys was mainly arthropods (83·4%) with many fewer vertebrates; seven orders of insects were identified, with Coleoptera, Hemiptera, Hymenoptera and Orthoptera predominant (11). Predation on fish fry in India most concentrated early in morning, 05:45–06:45 hours, and 79% of dives were successful. Birds adults of small passerines (Aegithina tiphia (12), Lonchura, Passer, Zosterops), newly fledged young (Riparia paludicola) (13) and nestlings (Kittacincla malabarica, Passer montanus, Vanellus indicus, Lonchura), and in Israel captures exhausted migrant Willow Warblers (Phylloscopus trochilus); also grabs birds from mist-nets. Typical sit-and-wait predator, spends long periods on perch  8–10 m above ground, with just head bobbing or tail wagging, before diving head first at 45° angle into deep water, or landing feet first in puddle or on ground; can hover for a moment over water before snatching prey. While still on ground or on returning to perch, will batter prey before swallowing it; can take up to 30 minutes before food swallowed. Success sometimes low, just three captures in 22 strikes at one site in Malaysia (1). Termite alates caught on wing, and Scarabaeus beetles taken in flight > 1 hour after dusk; in Kashmir, feeding activity reported as largely crepuscular. Observed turning over earth in an arable field, seeking insects. Closely follows grazing cattle to catch insects disturbed by them. Study of diurnal activities in S India revealed that birds spent a mean 54% of time scanning for prey or danger, 23% feeding, 13% flying, 6% preening and 4% resting (14)."
Storkbilled Kingfisher,Carnivore,Pelargopsis capensis,"Feeds mainly on marine and freshwater fish  , crabs and other crustaceans, but also takes frogs, lizards, rodents, young birds, also insects (Coleoptera) and insect larvae. Perches  quietly on stilt roots in mangroves or on branch overhanging water, typically 2–4 m above the water, watching for prey and occasionally bobbing head or wagging tail; sits vertically, with bill inclined at 40° below horizontal; plunges down at steep angle into water or on to land to capture prey, which is then taken back to the perch and banged against branch a few times to immobilize it, before being swallowed. Recorded following foraging smooth-coated otters (Lutra perspicillata) and taking prey items disturbed by them."
Cattle Egret,Insectivore,Bubulcus ibis,"Broad diet that varies greatly by habitat and season. Mostly grasshoppers, crickets, spiders, flies, frogs, and noctuid moths; fish taken in shallow water during dry seasons (154, 13, 155). Highly adaptable; diversity of food items taken by individuals is related to localized availability of prey and foraging opportunities in any given area."
Common Iora,Insectivore,Aegithina tiphia,"Insects  and other arthropods; rumoured to take small fruits, but this unconfirmed. Recorded preying on a bush frog (2). Prey items range up to size of large mantids; otherwise include spiders (Araneae), ants (Hymenoptera), beetles (Coleoptera), caterpillars and occasional adult lepidopterans. Loners and, commonly, pairs forage  among twigs and foliage at crown level, preferring taller trees, moving often acrobatically to peer beneath leaves; occasionally, birds also dart out to snatch closely passing flying prey. In strongly seasonal environments, non-breeders frequently join mixed-species foraging parties at forest edge; occasionally with other iora species in such parties. Otherwise, groups of more than two individuals foraging together exceptional (and slight evidence from Malaysia that, for rearing purposes, fledged broods are split between parents)."
Red Vented Bulbul,Frugivore,Pycnonotus cafer,"In its native ranges in India and Pakistan, feeds on nectar, fruits, and berries of many plant species. Kumar (58) observed it feeding on sugary exudate produced by sorghum (Sorghum bicolor), and Johnson (59) noted consumption of petals of southern magnolia (Magnolia grandiflora). Individuals also noted as eating petals from other flowers, including those of Bauhinia variegata, Tecomella undulata and Pisum sativum, and whole flowers of Clitoria ternatea, Clerodendron infortunatum and Tabernaemontana divaricata. In Pakistan, said to feed largely on young buds, green leaves and fallen seeds in winter; in Myanmar, recorded as eating grass seeds. Fruits collected from many trees, shrubs and parasitic plants, including Salvadora, Santalum, Ziziphus, Ficus, mistletoes (Loranthaceae), wild raspberries (Rubus) and Lantana; cultivated crops also exploited. In S India (Point Calimere, in Tamil Nadu), noted to feed on fruits from very broad variety of plants (e.g. Pachygone, Tinospora, Capparis, Flacourtia, Hugonia, Glycosmis, Toddalia, Azadirachta, Walsura, Olax, Cansjera, Pleurostylia, Salacia, Scutia, Ziziphus, Cissus, Allophyllus, Lepisanthes, Lannea, Syzygium, Memecylon, Coccinia, Opuntia, Benkara, Canthium, Ixora, Pavetta, Manilkara, Diospyros, Jasminum, Azima, Salvadora, Carissa, Carmona, Cordia, Ehretia, Solanum, Premna, Breynia, Drypetes, Phyllanthus, Securinegra, Asparagus, Phoenix)."
Red Whiskered Bulbul,Omnivore,Pycnonotus jocosus,"In India, feeds on fruits and berries of figs (Ficus indica) and lantana (Lantana spp.), and nectar of Helicteris isora (55, 16, 56). Visits the flowers of Careya arborea (a tree flowering in dry season in Eastern Ghats) to feed on nectar. In Australia, consumes berries and fruits of lantana, guava, camphor laurel, privet, inkweed, apricot, blackberry (Rubus fructicosa), and nightshade (Solanum spp.; 57, 58, 37, 59). In other parts of its range, also observed to harvest fruit of Macaranga (Euphorbiaceae), Muntingia calabura, and arils of Acacia mangium seeds. Collects nectar from Erythrina (Fabaceae) and Spathodea campanulata (Bignoniaceae). Individuals reported also as eating flowers (e.g. of Tabernaemontana divaricata). Takes many arthropods, notably caterpillars, but also grasshoppers (Orthoptera), beetles (Coleoptera), arachnids etc. Young nestlings tend to be fed with soft-bodied insects and larvae, with more drupes and berries as they become a little older."
