Common Name,Family,Specific Epithet,Hostplant Family,Hostplant Name,Country,Source
Indian Common Crow,Nymphalidae,Euploea core,Asclepiadaceae,Cryptolepis pauciflora,India,HOSTS
Indian Common Crow,Nymphalidae,Euploea core,Moraceae,Ficus,India,HOSTS
Indian Common Crow,Nymphalidae,Euploea core,Moraceae,Ficus benghalensis,India,HOSTS
Indian Common Crow,Nymphalidae,Euploea core,Moraceae,Ficus racemosa,India,HOSTS
Indian Common Crow,Nymphalidae,Euploea core,Moraceae,Ficus religiosa,India,HOSTS
Indian Common Crow,Nymphalidae,Euploea core,Apocynaceae,Holarrhena,India,HOSTS
Indian Common Crow,Nymphalidae,Euploea core,Apocynaceae,Nerium,India,HOSTS
Indian Common Crow,Nymphalidae,Euploea core,Apocynaceae,Nerium oleander,India,HOSTS
Indian Common Crow,Nymphalidae,Euploea core,Apocynaceae,Nerium oleander,India,HOSTS
Indian Common Crow,Nymphalidae,Euploea core,Moraceae,Streblus asper,India,HOSTS
Angled Pierrot,Lycaenidae,Caleta decidia,Rhamnaceae,,Oriental,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Rutaceae,,Oriental,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Insecta,Aphididae (Z),Oriental,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Rutaceae,Atalantia buxifolia,Hong Kong,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Rutaceae,Atalantia buxifolia,Taiwan,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Rutaceae,Citrus,India,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Rutaceae,Citrus,India,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Rutaceae,Citrus,India,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Rutaceae,Citrus,Oriental,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Rutaceae,Citrus aurantifolia,India,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Rutaceae,Citrus aurantium,Sri Lanka,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Rutaceae,Citrus hystrix,Sri Lanka,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Rutaceae,Citrus limon,India,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Rutaceae,Citrus limon,Laos,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Rutaceae,Citrus maxima,India,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Rutaceae,Citrus maxima,India,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Rutaceae,Citrus maxima,Sri Lanka,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Rutaceae,Citrus maxima,Thailand,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Rutaceae,Citrus sinensis ?,India,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Rutaceae,Limonia elephantum,Sri Lanka,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Rutaceae,Limonia elephantum,Sri Lanka,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Anacardiaceae,Mangifera indica,India,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Rutaceae,Severinia buxifolia,Taiwan,HOSTS
Lime Blue,Lycaenidae,Chilades lajus,Tiliaceae,Tilia,India,HOSTS
Common Small Flat,Hesperiidae,Sarandgesa dasahara,Acanthaceae,Asytasia,,IFB
Common Small Flat,Hesperiidae,Sarandgesa dasahara,Acanthaceae,Blepharis asperrima,,IFB
Common Small Flat,Hesperiidae,Sarandgesa dasahara,Acanthaceae,Lepidagathis cuspidaa,,IFB
Common Mormon,Papilionidae,Papilio polytes,Rutaceae,Aegle marmelos,India,HOSTS
Common Mormon,Papilionidae,Papilio polytes,Rutaceae,Aegle marmelos,India,HOSTS
Common Mormon,Papilionidae,Papilio polytes,Rutaceae,Citrus,India,HOSTS
Common Mormon,Papilionidae,Papilio polytes,Rutaceae,Citrus,India,HOSTS
Common Mormon,Papilionidae,Papilio polytes,Rutaceae,Citrus aurantifolia,India,HOSTS
Common Mormon,Papilionidae,Papilio polytes,Rutaceae,Citrus sinensis,India,HOSTS
Common Mormon,Papilionidae,Papilio polytes,Rutaceae,Correa,India,HOSTS
Common Mormon,Papilionidae,Papilio polytes,Rutaceae,Glycosmis,India,HOSTS
Common Mormon,Papilionidae,Papilio polytes,Rutaceae,Murraya,India,HOSTS
Common Mormon,Papilionidae,Papilio polytes,Rutaceae,Murraya koenigii,India,HOSTS
Common Mormon,Papilionidae,Papilio polytes,Rutaceae,Triphasia,India,HOSTS
Common Mormon,Papilionidae,Papilio polytes,Rutaceae,Zanthoxylum,India,HOSTS
Chocolate Pansy,Nymphalidae,Junonia iphita,Acanthaceae,Hygrophila costata,India,HOSTS
Chocolate Pansy,Nymphalidae,Junonia iphita,Acanthaceae,Justicia micrantha,India,HOSTS
Chocolate Pansy,Nymphalidae,Junonia iphita,Acanthaceae,Justicia procumbens,Taiwan,HOSTS
Chocolate Pansy,Nymphalidae,Junonia iphita,Acanthaceae,Justicia procumbens,Taiwan,HOSTS
Chocolate Pansy,Nymphalidae,Junonia iphita,Acanthaceae,Justicia sphaerosperma,West Malaysia,HOSTS
Chocolate Pansy,Nymphalidae,Junonia iphita,Acanthaceae,Lepidagathis formosensis,Taiwan,HOSTS
Chocolate Pansy,Nymphalidae,Junonia iphita,Acanthaceae,Lepidagathis formosensis,Taiwan,HOSTS
Chocolate Pansy,Nymphalidae,Junonia iphita,Acanthaceae,Strobilanthes,India,HOSTS
Chocolate Pansy,Nymphalidae,Junonia iphita,Acanthaceae,Strobilanthes,West Malaysia,HOSTS
Chocolate Pansy,Nymphalidae,Junonia iphita,Acanthaceae,Strobilanthes callosus,India,HOSTS
Chocolate Pansy,Nymphalidae,Junonia iphita,Acanthaceae,Strobilanthes formosanus,Taiwan,HOSTS
Chocolate Pansy,Nymphalidae,Junonia iphita,Acanthaceae,Strobilanthes formosanus,Taiwan,HOSTS
Common Emigrant,Pieridae,Catopsilia pomona,Leguminosae (c),Cassia,India,HOSTS
Common Emigrant,Pieridae,Catopsilia pomona,Leguminosae (c),Cassia fistula,India,HOSTS
Common Emigrant,Pieridae,Catopsilia pomona,Leguminosae (c),Cassia fistula,India,HOSTS
Common Emigrant,Pieridae,Catopsilia pomona,Leguminosae (c),Senna siamea,India,HOSTS
Pioneer,Pieridae,Belenois aurota,Capparaceae,Boscia,Afrotropical,HOSTS
Pioneer,Pieridae,Belenois aurota,Capparaceae,Capparis,Afrotropical,HOSTS
Pioneer,Pieridae,Belenois aurota,Capparaceae,Capparis,India,HOSTS
Pioneer,Pieridae,Belenois aurota,Capparaceae,Maerua,Afrotropical,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Leguminosae,,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Leguminosae (m),Acacia,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Leguminosae (p),Butea monosperma,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Leguminosae (p),Cajanus cajan,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Leguminosae (p),Cajanus cajan,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Leguminosae (p),Canavalia ensiformis,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Leguminosae (p),Lablab purpureus,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Leguminosae (p),Phaseolus,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Leguminosae (p),Vigna radiata,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Leguminosae (p),Vigna trilobata,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Leguminosae (p),Vigna unguiculata,India,HOSTS
Gram Blue,Lycaenidae,Euchrysops cnejus,Leguminosae (p),Vigna unguiculata,India,HOSTS
Common Silverline,Lycaenidae,Spindasis vulcanus,Rhamnaceae,,Oriental,HOSTS
Common Silverline,Lycaenidae,Spindasis vulcanus,Rubiaceae,,Oriental,HOSTS
Common Silverline,Lycaenidae,Spindasis vulcanus,Rutaceae,,Oriental,HOSTS
Common Silverline,Lycaenidae,Spindasis vulcanus,Sapindaceae,,Oriental,HOSTS
Common Silverline,Lycaenidae,Spindasis vulcanus,Verbenaceae,,Oriental,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Leguminosae,,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Leguminosae (c),Cassia auriculata,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Leguminosae (c),Cassia fistula,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Leguminosae (c),Cassia javanica,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Leguminosae (p),Ormocarpum cochinchinense,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Leguminosae (c),Senna obtusifolia,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Leguminosae (c),Senna occidentalis,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Leguminosae (c),Senna sophera,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Leguminosae (c),Senna sulfurea,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Leguminosae (p),Sesbania,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Leguminosae (p),Sesbania,India,HOSTS
Mottled Emigrant,Pieridae,Catopsilia pyranthe,Leguminosae (p),Sesbania bispinosa,India,HOSTS
