Taxa,Common Name,Specific Epithet,Guild
Birds,Jungle Crow,,Omnivore
Birds,Black Drongo,,Insectivore
Birds,Baya Weaver Bird,,Grainivore
Birds,Pied Kingfisher,,Carnivore
Birds,White Breasted Kingfisher,,Carnivore
Birds,Storkbilled Kingfisher,,Carnivore
Birds,Cattle Egret,,Insectivore
Birds,Common Iora,,Insectivore
Birds,Red Vented Bulbul,,Frugivore
Birds,Red Whiskered Bulbul,,Omnivore
Birds,Indian Robin,,Insectivore
Birds,Turtle Dove,,Grainivore
Birds,White Wagtail,,Insectivore
Birds,White Rumped Vulture,,Carnivore
Birds,Crested Serpent Eagle,,Carnivore
Birds,Purple Moorhen,,Carnivore
Birds,Painted Francolin,,Grainivore
Birds,Spotted Dove,,Grainivore
Birds,Long Tailed Shrike,,Carnivore
Birds,Jungle Babler,,Insectivore
Birds,Brown Headed Barbet,,Frugivore
Birds,House Crow,,Omnivore
Birds,Quaker Babler,,Omnivore
Birds,Purple Sunbird,,Omnivore
Birds,Green Bee Eater,,Insectivore
Birds,Pallid Harrier,,Carnivore
Birds,Grey Jungle Fowl,,Omnivore
Birds,Indian Blackbird,,Omnivore
Birds,Shikra,,Carnivore
Birds,Grey Breasted Prinia,,Insectivore
Birds,Ashy Wren Warbler,,Insectivore
Birds,Roseringed Parakeet,,Frugivore
Birds,Pale Billed Flowepecker,,Frugivore
Birds,Pied Bushchat,,Insectivore
Birds,Laughing Dove,,Grainivore
Birds,Grey Wagtail,,Insectivore
Birds,Yellow Wagtail,,Insectivore
Birds,Red Wattled Lapwing,,Insectivore
Birds,White Cheeked Barbet,,Frugivore
Birds,Indian Scimitar Babler,,Omnivore
Birds,Blyth's Reed Warbler,,Insectivore
Birds,Scarlet Minivet,,Insectivore
Birds,Malabar Crested lark,,NA
Birds,Common Kingfisher,,Carnivore
Birds,Koel,,Omnivore
Birds,"Robin, Magpie",,NA
Birds,Purple Rumped Sunbird,,Omnivore
Birds,Leaf Warbler,,Insectivore
Birds,Forest Wagtail,,Insectivore
Birds,Dusky Crag Martin,,Insectivore
Birds,Asian Paradise Flycatcher,,Insectivore
Birds,Yellow Browed Bulbul,,Omnivore
Birds,Common Myna,,Omnivore
Birds,House Swift,,Insectivore
Birds,Pond Heron,,Carnivore
Birds,Alpine Swift,,Insectivore
Birds,Swallow Spp.,,Insectivore
Birds,Black Naped Oriole,,Omnivore
Birds,Asian Fairy Bluebird,,Frugivore
Birds,Rufous Bellied Babler,,Omnivore
Birds,Blue Rock Pidgeon,,Grainivore
Birds,Common Tailorbird,,Insectivore
Birds,Scaly Breasted Munia,,Grainivore
Birds,Plum Headed Parakeet,,Frugivore
Birds,Southern Coucal,,Carnivore
Birds,Jungle Bush Quail,,Grainivore
Birds,Domestic Fowl,,NA
Birds,Coppersmith Barbet,,Frugivore
Birds,Black Bulbul,,Frugivore
Birds,Jungle Myna,,Omnivore
Birds,Spotted Babler,,Omnivore
Birds,Rose finch,,Omnivore
Birds,White Bellied Blue Flycatcher,,Insectivore
Birds,Black Shouldered Kite,,Carnivore
Birds,Oriental Magpie Robin,,Insectivore
Birds,Golden Fronted Leafbird,,Omnivore
Birds,Red Whiskered Bubul,,Omnivore
Birds,Common Tailor Bird,,NA
Birds,Red Spurfowl,,Frugivore
Birds,Perdicula spp.,,
Birds,Yellow Throated Sparrow,,Omnivore
Birds,Oriental Trutle Dove,,Grainivore
Birds,Orange Minivet,,Insectivore
Birds,Little Egret,,Carnivore
Birds,Phylloscopus Spp.,,Insectivore
Birds,Tree Pipit,,Insectivore
Birds,Crimson Backed Sunbird,,Omnivore
Birds,Orange Headed Ground Thrush,,Omnivore
Birds,Monticola spp.,,
Birds,Puff Throated Babler,,Insectivore
Birds,Brown Cheeked Fulvetta,,Omnivore
Birds,Malabar Whistling Thrush,,Carnivore
