"Common.Name","Specific.Epithet","Guild"
"Jungle Crow","Corvus macrorhynchos","Omnivore"
"Black Drongo","Dicrurus macrocercus","Insectivore"
"Baya Weaver Bird","Ploceus philippinus","Grainivore"
"Pied Kingfisher","Ceryle rudis","Carnivore"
"White Breasted Kingfisher","Halcyon smyrnensis","Carnivore"
"Storkbilled Kingfisher","Pelargopsis capensis","Carnivore"
"Cattle Egret","Bubulcus ibis","Carnivore"
"Common Iora","Aegithina tiphia","Insectivore"
"Red Vented Bulbul","Pycnonotus cafer","Frugivore"
"Red Whiskered Bulbul","Pycnonotus jocosus","Frugivore"
"Indian Robin","Copsychus fulicatus","Insectivore"
"Turtle Dove","Streptopelia orientalis","Grainivore"
"White Wagtail","Motacilla alba","Insectivore"
"White Rumped Vulture","Gyps bengalensis","Carnivore"
"Crested Serpent Eagle","Spilornis cheela","Carnivore"
"Purple Moorhen","Porphyrio porphyrio","Omnivore"
"Painted Francolin","Francolinus pictus","Grainivore"
"Spotted Dove","Streptopelia chinensis","Grainivore"
"Long Tailed Shrike","Lanius schach","Carnivore"
"Jungle Babler","Turdoides striata","Omnivore"
"Brown Headed Barbet","Psilopogon zeylanicus","Frugivore"
"House Crow","Corvus splendens","Omnivore"
"Quaker Babler","Alcippe poioicephala","Insectivore"
"Purple Sunbird","Cinnyris asiaticus","Omnivore"
"Green Bee Eater","Merops orientalis","Insectivore"
"Pallid Harrier","Circus macrourus","Carnivore"
"Grey Jungle Fowl","Gallus sonneratii","Omnivore"
"Indian Blackbird","Turdus simillimus","Omnivore"
"Shikra","Accipiter badius","Carnivore"
"Grey Breasted Prinia","Prinia hodgsonii","Insectivore"
"Ashy Wren Warbler","Prinia socialis","Insectivore"
"Roseringed Parakeet","Psittacula krameri","Frugivore"
"Pale Billed Flowepecker","Dicaeum erythrorhynchos","Frugivore"
"Pied Bushchat","Saxicola caprata","Insectivore"
"Laughing Dove","Streptopelia senegalensis","Grainivore"
"Grey Wagtail","Motacilla cinerea","Insectivore"
"Yellow Wagtail","Motacilla flava","Insectivore"
"Red Wattled Lapwing","Vanellus indicus","Insectivore"
"White Cheeked Barbet","Psilopogon viridis","Frugivore"
"Indian Scimitar Babler","Pomatorhinus horsfieldii","Omnivore"
"Blyth's Reed Warbler","Acrocephalus dumetorum","Insectivore"
"Scarlet Minivet","Pericrocotus speciosus","Insectivore"
"Malabar Crested lark","Galerida malabarica",""
"Common Kingfisher","Alcedo atthis","Carnivore"
"Koel","Eudynamys scolopaceus","Frugivore"
"Robin, Magpie","Copsychus saularis","Insectivore"
"Purple Rumped Sunbird","Leptocoma zeylonica","Insectivore"
"Forest Wagtail","Dendronanthus indicus","Insectivore"
"Asian Paradise Flycatcher","Terpsiphone paradis","Insectivore"
"Yellow Browed Bulbul","Iole indica","Omnivore"
"Common Myna","Acridotheres tristis","Insectivore"
"House Swift","Apus nipalensis","Insectivore"
"Pond Heron","Ardeola grayii","Carnivore"
"Alpine Swift","Apus melba","Insectivore"
"Black Naped Oriole","Oriolus chinensis","Omnivore"
"Asian Fairy Bluebird","Irena puella","Frugivore"
"Rufous Bellied Babler","Dumetia hyperythra","Insectivore"
"Blue Rock Pidgeon","Columba livia","Grainivore"
"Common Tailorbird","Orthotomus sutorius","Insectivore"
"Scaly Breasted Munia","Lonchura punctulata","Grainivore"
"Plum Headed Parakeet","Psittacula cyanocephala","Frugivore"
"Southern Coucal","Centropus sinensis","Omnivore"
"Jungle Bush Quail","Perdicula asiatica","Grainivore"
"Coppersmith Barbet","Psilopogon haemacephalus","Frugivore"
"Black Bulbul","Hypsipetes leucocephalus","Frugivore"
"Jungle Myna","Acridotheres fuscus","Omnivore"
"Spotted Babler","Pellorneum ruficeps","Insectivore"
"Rose finch","Carpodacus erythrinus","Frugivore"
"White Bellied Blue Flycatcher","Cyornis pallidipes","Insectivore"
"Black Shouldered Kite","Elanus axillaris","Carnivore"
"Oriental Magpie Robin","Copsychus saularis","Insectivore"
"Golden Fronted Leafbird","Chloropsis aurifrons","Omnivore"
"Red Whiskered Bubul","Pycnonotus jocosus","Omnivore"
"Common Tailor Bird","Orthotomus sutorius","Insectivore"
"Red Spurfowl","Galloperdix spadicea","Frugivore"
"Yellow Throated Sparrow","Gymnoris xanthocollis","Grainivore"
"Oriental Trutle Dove","Streptopelia orientalis","Grainivore"
"Orange Minivet","Pericrocotus flammeus","Insectivore"
"Little Egret","Egretta garzetta","Carnivore"
"Tree Pipit","Anthus trivialis","Insectivore"
"Crimson Backed Sunbird","Leptocoma minima","Insectivore"
"Orange Headed Ground Thrush","Geokichla citrina","Omnivore"
"Puff Throated Babler","Pellorneum ruficeps","Insectivore"
