"Common.Name","Specific.Epithet","Guild","Study","Taxa","Evergreen Forest","Human Habitation/Farmland","Riparian","Scrubland/Grassland"
"Indian Common Crow","Euploea core","Generalist","1998 - 2000","Butterflies",0.0155339805825243,0.0116504854368932,NA,0.0427184466019417
"Indian Common Crow","Euploea core","Generalist","2016 - 2017","Butterflies",0.0218470705064548,0.0124131082423039,0.00645481628599801,0.0198609731876862
"Angled Pierrot","Caleta decidia","Tree Specialist","1998 - 2000","Butterflies",0.00194174757281553,0.0058252427184466,0.00194174757281553,0.0155339805825243
"Angled Pierrot","Caleta decidia","Tree Specialist","2016 - 2017","Butterflies",0.0054617676266137,0.0119165839126117,0.00347567030784508,0.0148957298907646
"Lime Blue","Chilades lajus","Tree Specialist","1998 - 2000","Butterflies",0.00388349514563107,NA,NA,0.00388349514563107
"Lime Blue","Chilades lajus","Tree Specialist","2016 - 2017","Butterflies",0.000496524329692155,0.00099304865938431,NA,0.00198609731876862
"Common Small Flat","Sarandgesa dasahara","Herb Specialist","2016 - 2017","Butterflies",NA,0.00496524329692155,0.00744786494538232,0.00397219463753724
"Common Mormon","Papilio polytes","Tree Specialist","1998 - 2000","Butterflies",0.00194174757281553,NA,NA,0.00970873786407767
"Common Mormon","Papilio polytes","Tree Specialist","2016 - 2017","Butterflies",0.00397219463753724,0.00446871896722939,0.00297914597815293,0.00794438927507448
"Chocolate Pansy","Junonia iphita","Herb Specialist","1998 - 2000","Butterflies",0.0135922330097087,0.0233009708737864,NA,0.0330097087378641
"Chocolate Pansy","Junonia iphita","Herb Specialist","2016 - 2017","Butterflies",0.0198609731876862,0.0054617676266137,0.0228401191658391,0.0268123138033764
"Common Emigrant","Catopsilia pomona","Generalist","1998 - 2000","Butterflies",0.0174757281553398,0.00194174757281553,NA,0.0155339805825243
"Common Emigrant","Catopsilia pomona","Generalist","2016 - 2017","Butterflies",0.00347567030784508,0.00248262164846077,0.00297914597815293,0.00148957298907646
"Pioneer","Belenois aurota","Shrub Specialist","1998 - 2000","Butterflies",NA,NA,NA,0.00194174757281553
"Pioneer","Belenois aurota","Shrub Specialist","2016 - 2017","Butterflies",0.00099304865938431,0.00446871896722939,NA,0.00198609731876862
"Gram Blue","Euchrysops cnejus","Tree Specialist","1998 - 2000","Butterflies",0.118446601941748,0.00776699029126214,NA,0.0116504854368932
"Gram Blue","Euchrysops cnejus","Tree Specialist","2016 - 2017","Butterflies",0.0099304865938431,0.00297914597815293,0.00148957298907646,0.00198609731876862
"Gram Blue","Euchrysops cnejus","Generalist","1998 - 2000","Butterflies",0.118446601941748,0.00776699029126214,NA,0.0116504854368932
"Gram Blue","Euchrysops cnejus","Generalist","2016 - 2017","Butterflies",0.0099304865938431,0.00297914597815293,0.00148957298907646,0.00198609731876862
"Common Silverline","Spindasis vulcanus","Generalist","2016 - 2017","Butterflies",NA,0.00148957298907646,0.000496524329692155,0.00148957298907646
"Mottled Emigrant","Catopsilia pyranthe","Generalist","1998 - 2000","Butterflies",NA,NA,NA,0.00194174757281553
"Mottled Emigrant","Catopsilia pyranthe","Generalist","2016 - 2017","Butterflies",NA,NA,NA,0.00099304865938431
"Yellow Pansy","Junonia hierta","Herb Specialist","1998 - 2000","Butterflies",NA,NA,NA,0.00194174757281553
"Yellow Pansy","Junonia hierta","Herb Specialist","2016 - 2017","Butterflies",NA,NA,0.00148957298907646,0.00297914597815293
"Lemon Pansy","Junonia lemonias","Herb Specialist","1998 - 2000","Butterflies",0.0116504854368932,0.00194174757281553,NA,0.00388349514563107
"Lemon Pansy","Junonia lemonias","Herb Specialist","2016 - 2017","Butterflies",0.0114200595829196,0.00794438927507448,0.0114200595829196,0.0119165839126117
"Psyche","Leptosia nina","Shrub Specialist","2016 - 2017","Butterflies",0.00695134061569017,0.00099304865938431,0.00248262164846077,0.00397219463753724
"Spotted Flat","Celaenorrhinus ambareesa","Herb Specialist","2016 - 2017","Butterflies",0.00645481628599801,0.00645481628599801,0.00595829195630586,NA
"Rustic","Cupha erymanthis","Tree Specialist","2016 - 2017","Butterflies",0.00893743793445879,NA,0.00297914597815293,0.00744786494538232
"Glassy Tiger","Parantica aglea","Shrub Specialist","1998 - 2000","Butterflies",0.0213592233009709,0.00970873786407767,0.00388349514563107,0.0310679611650485
"Glassy Tiger","Parantica aglea","Shrub Specialist","2016 - 2017","Butterflies",0.00695134061569017,0.00148957298907646,0.00099304865938431,0.00496524329692155
"Common Line Blue","Prosotas nora","Generalist","2016 - 2017","Butterflies",0.00446871896722939,0.00297914597815293,0.00099304865938431,0.00794438927507448
"Blue Mormon","Papilio polymnestor","Tree Specialist","1998 - 2000","Butterflies",0.00970873786407767,0.00194174757281553,NA,0.0174757281553398
"Blue Mormon","Papilio polymnestor","Tree Specialist","2016 - 2017","Butterflies",0.0153922542204568,0.00099304865938431,0.00943396226415094,0.00397219463753724
"Plain Tiger","Danaus chrysippus","Shrub Specialist","1998 - 2000","Butterflies",0.00194174757281553,0.0058252427184466,0.00194174757281553,0.0058252427184466
"Plain Tiger","Danaus chrysippus","Shrub Specialist","2016 - 2017","Butterflies",0.00148957298907646,NA,0.00099304865938431,0.00148957298907646
